2023-10-02 19:12:23.785 [info] Log level: Info
2023-10-02 19:12:23.785 [info] Validating found git in: "git"
2023-10-02 19:12:23.785 [info] Using git "2.34.1" from "git"
2023-10-02 19:12:23.785 [info] > git rev-parse --show-toplevel [14ms]
2023-10-02 19:12:23.785 [info] > git rev-parse --show-toplevel [5ms]
2023-10-02 19:18:37.572 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 19:18:59.409 [info] > git rev-parse --show-toplevel [7ms]
2023-10-02 19:21:48.935 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 19:33:38.856 [info] > git rev-parse --show-toplevel [6ms]
2023-10-02 19:40:32.559 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 19:40:34.624 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 19:43:12.090 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 19:43:30.238 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 19:48:46.368 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 19:50:37.801 [info] > git rev-parse --show-toplevel [5ms]
2023-10-02 19:50:48.627 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 19:50:55.561 [info] > git rev-parse --show-toplevel [6ms]
2023-10-02 19:51:43.108 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 19:51:50.731 [info] > git rev-parse --show-toplevel [0ms]
2023-10-02 19:52:00.248 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 19:52:08.331 [info] > git rev-parse --show-toplevel [1ms]
2023-10-02 19:52:23.476 [info] > git rev-parse --show-toplevel [1ms]
2023-10-02 19:53:35.946 [info] > git rev-parse --show-toplevel [7ms]
2023-10-02 19:54:11.988 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 19:55:18.294 [info] > git rev-parse --show-toplevel [5ms]
2023-10-02 19:57:03.571 [info] > git rev-parse --show-toplevel [7ms]
2023-10-02 19:58:17.565 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 19:58:22.308 [info] > git rev-parse --show-toplevel [7ms]
2023-10-02 20:02:25.179 [info] > git rev-parse --show-toplevel [6ms]
2023-10-02 20:06:28.760 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 20:06:29.702 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 20:08:39.352 [info] > git rev-parse --show-toplevel [4ms]
2023-10-02 20:10:17.300 [info] > git rev-parse --show-toplevel [6ms]
2023-10-02 20:10:23.634 [info] > git rev-parse --show-toplevel [11ms]
2023-10-02 20:10:34.715 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 20:10:39.656 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 20:13:31.182 [info] > git rev-parse --show-toplevel [1ms]
2023-10-02 20:14:34.894 [info] > git rev-parse --show-toplevel [5ms]
2023-10-02 20:14:35.652 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 20:15:54.051 [info] > git rev-parse --show-toplevel [2ms]
2023-10-02 20:16:32.534 [info] > git rev-parse --show-toplevel [3ms]
2023-10-02 20:29:00.856 [info] > git rev-parse --show-toplevel [2ms]
